"","authors","title","year_3","donwscaling_approach","allocation_method","downscaling_scale","location_name","control_variable","variable_description","variable_extra_description","response_variable","response_ecosystem","global_limit_considered","time_serie","year_15","boundary_percapita","territorial_boundary","footprint_percapita","territorial_footprint","overshoot","geographical_extent","grain_resolution","environmental_performance","data_reference","social_policy_involved","observations","boundary_studied","variables_considered_for_quantification","publication_year","year","x28"
"1","Røkås T.; Gómez-Baggethun E.","Defining a safe and just operating space for the Norwegian economy","2025","top down","inter- and intra-generational sharing principle","country","norway","GHG emissions to stay within 1.5C","The remaining cumulative greenhouse gas emissions (excluding land cover changes) for a 50 % chance to stay below 1.5 °C by 2055 compared with pre-industrial level","CO2 budget adopted for Norway is an equal (per capita) share of the predicted world population between 1990 and 2055 (Statistics Norway; UN, 2019), accounting for accumulated emissions from 1990 to 2019 (Gütschow et al., 2021) and a carbon budget for a 50 % chance of staying within temperature rise of 1.5 °C equal to 500Gt CO2 (IPCC, 2021).",NA,NA,NA,"1990-2000",NA,NA,"1129 Mt CO2e",NA,"2413 Mt CO2e",NA,NA,NA,"consumption-based","Eora MRIO; IPCC, 2021; PRIMAP; Statistics Norway; United Nations, 2019",NA,"To measure emissions, we used consumption-based accounts (CBA) (Lenzen et al., 2012, Lenzen et al., 2013). inter- and intra-generational sharing principle (Dao et al., 2018)","Climate change",NA,NA,NA,NA
"2","Røkås T.; Gómez-Baggethun E.","Defining a safe and just operating space for the Norwegian economy","2025","top down","inter- and intra-generational sharing principle","country","norway","GHG emissions to stay within 1.5C","The remaining cumulative greenhouse gas emissions (excluding land cover changes) for a 50 % chance to stay below 1.5 °C by 2055 compared with pre-industrial level","CO2 budget adopted for Norway is an equal (per capita) share of the predicted world population between 1990 and 2055 (Statistics Norway; UN, 2019), accounting for accumulated emissions from 1990 to 2019 (Gütschow et al., 2021) and a carbon budget for a 50 % chance of staying within temperature rise of 1.5 °C equal to 500Gt CO2 (IPCC, 2021).",NA,NA,NA,"1990-2000",NA,NA,"1129 Mt CO2e",NA,"1655 Mt CO2e",NA,NA,NA,"production-based","Eora MRIO; IPCC, 2021; PRIMAP; Statistics Norway; United Nations, 2019",NA,"To measure emissions, we used both production-based accounts (PBA) (Statistics Norway, 2023b). inter- and intra-generational sharing principle (Dao et al., 2018)","Climate change",NA,NA,NA,NA
"513","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","bulgaria","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"7916.03 kt",NA,"43576.80 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"514","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","brazil","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"342731.14 kt",NA,"854637.92 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"515","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","canada","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"277185.59 kt",NA,"609943.02 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"516","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","cyprus","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"4214.53 kt",NA,"12896.43 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"517","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","Czechia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"34320.68 kt",NA,"106188.67 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"518","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","germany","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"561773.03 kt",NA,"971040.04 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"519","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","denmark","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"50410.64 kt",NA,"73451.40 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"520","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","spain","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"239526.05 kt",NA,"405191.84 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"521","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","estonia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"3115.77 kt",NA,"13884.98 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"522","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","finland","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"39590.60 kt",NA,"81373.55 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"523","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","france","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"435779.00 kt",NA,"574638.61 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"524","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","united kingdom","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"394437.76 kt",NA,"692077.73 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"525","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","greece","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"48307.03 kt",NA,"145681.29 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"526","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","hungary","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"20156.15 kt",NA,"65556.23 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"527","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","indonesia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"134226.17 kt",NA,"618843.49 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"528","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","india","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"295422.75 kt",NA,"2361154.30 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"529","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","ireland","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"36640.49 kt",NA,"57253.08 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"530","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","italy","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"349503.23 kt",NA,"601193.34 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"531","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","japan","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"987685.98 kt",NA,"1310175.72 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"532","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","south korea","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"180912.34 kt",NA,"566643.19 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"533","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","lithuania","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"6099.83 kt",NA,"24059.16 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"534","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","luxembourg","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"8634.16 kt",NA,"8319.85 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"535","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","latvia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"3846.18 kt",NA,"13036.43 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"536","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","mexico","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"183839.81 kt",NA,"544574.71 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"537","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","malta","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"1394.64 kt",NA,"4076.88 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"538","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","netherlands","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"137378.32 kt",NA,"223986.09 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"539","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","poland","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"76837.53 kt",NA,"326006.77 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"540","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","portugal","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"38309.54 kt",NA,"87552.71 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"541","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","romania","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"27402.53 kt",NA,"126871.53 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"542","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","russia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"236625.65 kt",NA,"1599358.15 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"543","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","slovakia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"14858.33 kt",NA,"42380.29 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"544","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","slovenia","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"7641.99 kt",NA,"20506.21 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"545","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","sweden","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"78531.43 kt",NA,"103403.33 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"546","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","turkey","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"119180.23 kt",NA,"393247.81 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"547","Meng F.; Liao D.; Wang D.; Liu G.; Liang S.; Cristiano S.; Li X.; Yang Z.","A Consumption-Based Integrated Framework for Subnational Absolute Environmental Sustainability Management","2024","top down","GDP-based distribution","country","united states of america","CO2 Emissions","atmospheric CO2 concentration",NA,NA,NA,"2°C",NA,"2010",NA,"2731296.99 kt",NA,"6119019.05 kt",NA,NA,NA,"consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"548","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025","top down","equal share percapita","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.5°C",NA,"2025",NA,"272 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","production-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"549","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025","top down","equal share percapita","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.7°C",NA,"2025",NA,"658 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","production-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"550","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025","top down","equal share percapita","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"2°C",NA,"2025",NA,"1259 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","production-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"551","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025",NA,"responsability","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.5°C",NA,"2025",NA,"-701 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","production-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"552","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025",NA,"responsability","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.7°C",NA,"2025",NA,"-315 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","production-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"553","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025",NA,"responsability","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"2°C",NA,"2025",NA,"286 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","production-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"554","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025","top down","equal share percapita","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.5°C",NA,"2025",NA,"272 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"555","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025","top down","equal share percapita","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.7°C",NA,"2025",NA,"658 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"556","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025","top down","equal share percapita","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"2°C",NA,"2025",NA,"1259 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"557","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025",NA,"responsability","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.5°C",NA,"2025",NA,"-1133 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"558","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025",NA,"responsability","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"1.7°C",NA,"2025",NA,"-747 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"559","Lind, A., Friis, C., Vea E.","Downscaling the planetary boundaries to national level The case of Denmark","2025",NA,"responsability","country","denmark","greenhouse gas budgets","CO2-equivalents",NA,NA,NA,"2°C",NA,"2025",NA,"-146 MtCo2-eq",NA,NA,NA,"Denmark (country-level)","Country-level aggregated indicators (no sub-national spatial resolution specified)","consumption-based",NA,NA,NA,"Climate change",NA,NA,NA,NA
"560","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","austria","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"0.0905 GtCO2-eq","6.09","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
"561","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","australia","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"0.7366 GtCO2-eq","17.34","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
"562","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","belgium","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"0.1281 GtCO2-eq","6.65","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
"563","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","bulgaria","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"0.0554 GtCO2-eq","4.74","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
"564","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","brazil","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"1.2348 GtCO2-eq","3.49","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
"565","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","canada","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"0.7934 GtCO2-eq","12.60","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
"566","VÃ¡zquez D.; GalÃ¡n-MartÃ­n Ã.; Tulus V.; GuillÃ©n-GosÃ¡lbez G.","Level of decoupling between economic growth and environmental pressure on Earth-system processes","2023",NA,"equal share per capita","country","switzerland","GHG emissions","pressure indicators, such as GHG emissions (including CO2, CH4, N2O, SF6, and aggregated HFCs and PFCs) measured as kg CO2 equivalent using characterization factors to kgCO2eq/kg",NA,NA,NA,"1473 GtCO2eq in 2010",NA,"2019",NA,NA,NA,"0.0573 GtCO2-eq","3.99","Global; 44 countries + 5 RoW regions (EXIOBASE v3.8.2)","Country–sector level (MRIO-based)","production-based","1-s2.0-S2352550923002531-mmc2.xlsx",NA,"they consider the GHG emissions available in Exiobase","Climate change",NA,NA,NA,NA
